ID,P-value,Label Type
HIV,0.0,year_full
HIV,0.0,year_binned
HIV,0.0,tpsa
HIV,0.0,mw
HIV,0.0,logp
orexin1_receptor_butkiewicz,0.0,year_full
orexin1_receptor_butkiewicz,0.0,year_binned
orexin1_receptor_butkiewicz,0.0,tpsa
orexin1_receptor_butkiewicz,0.0,mw
orexin1_receptor_butkiewicz,0.0,logp
m1_muscarinic_receptor_agonists_butkiewicz,0.0,year_full
m1_muscarinic_receptor_agonists_butkiewicz,0.0,year_binned
m1_muscarinic_receptor_agonists_butkiewicz,0.0,tpsa
m1_muscarinic_receptor_agonists_butkiewicz,0.0,mw
m1_muscarinic_receptor_agonists_butkiewicz,0.0,logp
cav3_t-type_calcium_channels_butkiewicz,0.0,year_full
cav3_t-type_calcium_channels_butkiewicz,0.0,year_binned
cav3_t-type_calcium_channels_butkiewicz,0.0,tpsa
cav3_t-type_calcium_channels_butkiewicz,0.0,mw
cav3_t-type_calcium_channels_butkiewicz,0.0,logp
_serine_threonine_kinase_33_butkiewicz,0.0,year_full
_serine_threonine_kinase_33_butkiewicz,0.0,year_binned
_serine_threonine_kinase_33_butkiewicz,0.0,tpsa
_serine_threonine_kinase_33_butkiewicz,0.0,mw
_serine_threonine_kinase_33_butkiewicz,0.0,logp
_choline_transporter_butkiewicz,0.0,year_full
_choline_transporter_butkiewicz,0.0,year_binned
_choline_transporter_butkiewicz,0.0,tpsa
_choline_transporter_butkiewicz,0.0,mw
_choline_transporter_butkiewicz,0.0,logp
SARSCoV2_Vitro_Touret,0.0,year_full
SARSCoV2_Vitro_Touret,0.0,year_binned
SARSCoV2_Vitro_Touret,0.0,tpsa
SARSCoV2_Vitro_Touret,0.0,mw
SARSCoV2_Vitro_Touret,0.0,logp
kcnq2_potassium_channel_butkiewicz,0.0,year_full
kcnq2_potassium_channel_butkiewicz,0.0,year_binned
kcnq2_potassium_channel_butkiewicz,0.0,tpsa
kcnq2_potassium_channel_butkiewicz,0.0,mw
kcnq2_potassium_channel_butkiewicz,0.0,logp
potassium_ion_channel_kir2.1_butkiewicz,0.0,year_full
potassium_ion_channel_kir2.1_butkiewicz,0.0,year_binned
potassium_ion_channel_kir2.1_butkiewicz,0.0,tpsa
potassium_ion_channel_kir2.1_butkiewicz,0.0,mw
potassium_ion_channel_kir2.1_butkiewicz,0.0,logp
_tyrosyl-dna_phosphodiesterase_butkiewicz,0.0,year_full
_tyrosyl-dna_phosphodiesterase_butkiewicz,0.0,year_binned
_tyrosyl-dna_phosphodiesterase_butkiewicz,0.0,tpsa
_tyrosyl-dna_phosphodiesterase_butkiewicz,0.0,mw
_tyrosyl-dna_phosphodiesterase_butkiewicz,0.0,logp
SARSCoV2_3CLPro_Diamond,0.002,year_full
SARSCoV2_3CLPro_Diamond,0.007,year_binned
SARSCoV2_3CLPro_Diamond,0.0,tpsa
SARSCoV2_3CLPro_Diamond,0.0,mw
SARSCoV2_3CLPro_Diamond,0.0,logp
m1_muscarinic_receptor_antagonists_butkiewicz,0.0,year_full
m1_muscarinic_receptor_antagonists_butkiewicz,0.0,year_binned
m1_muscarinic_receptor_antagonists_butkiewicz,0.0,tpsa
m1_muscarinic_receptor_antagonists_butkiewicz,0.0,mw
m1_muscarinic_receptor_antagonists_butkiewicz,0.0,logp
_CYP2C9_Veith,0.0,year_full
_CYP2C9_Veith,0.0,year_binned
_CYP2C9_Veith,0.0,tpsa
_CYP2C9_Veith,0.0,mw
_CYP2C9_Veith,0.0,logp
HIA_Hou,0.058,year_full
HIA_Hou,0.001,year_binned
