	0	1
0	COc1cccc(CN2CC(C(=O)NCCCCc3ccccn3)CCC2=O)c1	0
1	FC(F)(F)c1cccc(NC2=NCCCS2)c1	0
2	CCCSc1nc2[nH][nH]cc-2c(=O)n1	0
3	CCOC(=O)CC1c2cc(F)ccc2S(=O)(=O)N1C1CCCC1	0
4	CCOc1ccc(-n2c(SC)nc3c(c2=O)SCC3)cc1	0
5	Cc1cccc(N2CCN(C(=O)Cc3ccc(Br)cc3)CC2)c1C	0
6	CC1(C)C(C(=O)N2CCN(c3ccc(Cl)cc3)CC2)C1(C)C	0
7	COc1ccccc1Cc1nc(-c2cccnc2)no1	0
8	Cc1cccc2c(C(=O)O)cc(-c3cccnc3)nc12	0
9	CCC(C)N(C(=O)COc1ccccc1C#N)C1CCS(=O)(=O)C1	0
10	O=C1c2ccccc2C(=O)N1CCN1CCN(c2nc(-c3ccccc3)cs2)CC1	0
11	Cc1cc(-c2ccccc2)nc(N(C)N)c1S(C)(=O)=O	0
12	CC(C)NS(=O)(=O)c1ccc(OCC(=O)Nc2cccc(F)c2)cc1	0
13	Cc1ccc(S(=O)(=O)N2CCCC2=O)c(C)c1N(C)S(C)(=O)=O	0
14	COC(=O)c1cccc(Nc2nc3ccccc3nc2C)c1	0
15	COc1ccc2c(c1)S(=O)(=O)c1ccccc1N2	0
16	CC(OC(=O)CNC(=O)C12CC3CC(CC(C3)C1)C2)C(=O)Nc1ncc(Cl)cc1Cl	0
17	COc1ccc(C(C[N+](=O)[O-])c2c(C)[nH]n(-c3ccccc3)c2=O)cc1	0
18	CC(=O)Nc1ccc(/C=C\c2nc3ccccc3o2)cc1	0
19	Cc1ccccc1OCC(=O)NCC(c1ccco1)N1CCCCC1	0
20	Cc1nc2c(C(=O)NCCc3ccccc3)c[nH]n2c(=O)c1Cl	0
21	CN(C)c1ccc(C(CN)c2c[nH]c3ccccc23)cc1	0
22	Cc1ccc(NC(=O)C(c2ccc(Cl)cc2Cl)N2CCCC2)cc1	0
23	CCC(=O)N1N=C(c2cccs2)CC1c1ccco1	0
24	Cc1ccccc1C(=O)Nc1nc(-c2cccnc2)cs1	0
25	CCOc1ccc(N(CC(=O)NCCSCc2ccccc2)S(C)(=O)=O)cc1	0
26	O=C(/C=C\c1ccccc1)N/C(=C/c1ccco1)C(=O)NCCO	0
