0	1	2
Cc1ccc(-c2nc(CS(=O)CC(=O)NC3CCC(C)CC3)c(C)o2)cc1	0	2012.658
NC(=O)CSc1nnc(-c2cccnc2)n1CCc1ccccc1	0	2014.658
Cc1nn(-c2ccccc2)c(-c2ccccc2)c1C(=O)O	0	2012.913
COc1ccc(Nc2nc(C)cc(C)c2C#N)cc1	0	1995.737
O=S(=O)(c1cccs1)n1cnc2ccccc21	0	1982.532
O=C(c1cccs1)c1ccc(-c2cccs2)s1	0	2001.849
O=C(c1ccc(S(=O)(=O)N2CCCC2)cc1)N1CCCc2ccccc21	0	2004.806
CCOC(=O)C1CCN(C(=O)N(C)C)CC1	0	2003.364
O=C(O)C1C2C=CC(C2)C1C(=O)NCCc1ccccc1	0	2000.036
Nc1ccc2c3c(cccc13)CC2	0	1976.284
CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C	0	1984.049
Cc1nc(C)c(-c2csc(Nc3cccnc3)n2)s1	0	2015.099
CCn1c(Cc2cccs2)nnc1SCC(=O)Nc1ccc(OC)c(OC)c1	0	2017.162
Cc1ccc(C(=O)Nc2ccc(Cl)cn2)cc1S(=O)(=O)N1CCOCC1	0	2008.142
COC(=O)Sc1nnc(-c2ccc(Br)cc2)o1	0	2011.074
S=c1[nH]c2ncccc2o1	0	1977.759
Cc1cccc(C)c1N1C(=O)c2ccccc2C1=O	0	1989.449
N#Cc1c(-c2ccco2)c2c([nH]c1=S)CCCC2	0	2014.159
CC(=O)OCC1OC(n2ncc(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O	0	2018.184
C=CCn1c(=N)n(CC(O)c2ccco2)c2ccccc21	0	2016.383
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1	0	1980.254
Cc1cc(C(N)=O)c2ccccc2n1	0	1980.347
CCOC(=O)c1cccc(NC(=O)CSc2nnc(-c3cccnc3)n2CC)c1	0	2017.162
CCOC(=O)c1[nH]cnc1C(=O)O	0	1989.564
