NAME,CAS-RN,DATE
Lepirudin,138068-37-8,1998.178
Cetuximab,205923-56-4,2004.117
Dornase alfa,143831-71-4,1993.997
Denileukin diftitox,173146-27-5,2013.836
Etanercept,185243-69-0,2001.2
Bivalirudin,128270-60-0,2000.956
Leuprolide,53714-56-0,1986.0
Peginterferon alfa-2a,198153-51-4,2002.792
Alteplase,105857-23-6,1987.868
Interferon alfa-n1,74899-72-2,1993.0
Darbepoetin alfa,209810-58-2,2001.751
Urokinase,9039-53-6,1989.0
Goserelin,65807-02-5,1995.0
Reteplase,133652-38-7,1996.831
Erythropoietin,11096-26-7,1989.416
Salmon calcitonin,47931-85-1,1984.0
Interferon alfa-n3,,1989.775
Pegfilgrastim,208265-92-3,2002.249
Sargramostim,123774-72-1,1991.175
Peginterferon alfa-2b,215647-85-1,2001.052
Asparaginase Escherichia coli,9015-68-3,1975.0
Thyrotropin alfa,194100-83-9,1998.915
"Antihemophilic factor, human recombinant",139076-62-3,1993.0
Anakinra,143090-92-0,2002.408
Gramicidin D,1405-97-6,1955.277
Human immunoglobulin G,308067-58-5,1952.0
Anistreplase,81669-57-0,1997.956
Insulin human,11061-68-0,1981.0
Tenecteplase,191588-94-0,2000.421
Menotropins,9002-68-0,2003.658
Interferon gamma-1b,98059-61-1,1999.153
Interferon alfa-2a,76543-88-9,1986.425
Desmopressin,16679-58-6,1978.142
Coagulation factor VIIa Recombinant Human,102786-61-8,1999.595
Oprelvekin,145941-26-0,1997.836
Palifermin,162394-19-6,2004.956
Glucagon,16941-32-5,1962.0
Aldesleukin,110942-02-4,1992.344
Botulinum toxin type B,93384-44-2,2000.937
Omalizumab,242138-07-4,2003.468
Lutropin alfa,152923-57-4,2004.77
Insulin lispro,133107-64-9,1996.454
Insulin glargine,160337-95-1,2002.425
Collagenase clostridium histolyticum,9001-12-1,1995.0
Rasburicase,134774-45-1,2002.529
Cetrorelix,120287-85-6,2000.612
Adalimumab,331731-18-1,2002.997
Somatotropin,12629-01-5,1987.249
Imiglucerase,154248-97-2,1994.392
Abciximab,143653-53-6,1993.959
Drotrecogin alfa,98530-76-8,2001.899
Gemtuzumab ozogamicin,220578-59-6,2017.685
Alpha-1-proteinase inhibitor,9041-92-3,1987.921
Pegaspargase,130167-69-0,1994.088
Interferon beta-1a,145258-61-3,1996.377
Pegademase,130167-68-9,2010.797
Albumin human,9048-46-8,1942.805
Eptifibatide,188627-80-7,1998.378
Infliximab,170277-31-3,1998.647
Follitropin,146479-72-3,1980.0
Vasopressin,11000-17-2,1972.0
Interferon beta-1b,145155-23-3,1996.0
Interferon alfacon-1,118390-30-0,1997.751
Hyaluronidase (ovine),488712-31-8,2004.5
Insulin pork,12584-58-6,1981.0
Trastuzumab,180288-69-1,1998.734
Rituximab,174722-31-7,1997.904
Basiliximab,179045-86-4,1998.362
Muromonab,140608-64-6,1986.548
Digoxin Immune Fab (Ovine),,1986.534
Ibritumomab tiuxetan,206181-63-7,2002.137
Daptomycin,103060-53-3,2003.699
Tositumomab,208921-02-2,2006.274
Pegvisomant,218620-50-9,2003.397
Botulinum toxin type A,93384-43-1,1993.0
Pancrelipase,53608-75-6,1954.0
Streptokinase,9002-01-1,1982.0
Alemtuzumab,216503-57-0,2006.332
Alglucerase,143003-46-7,1991.26
Capromab pendetide,145464-28-4,1996.825
Laronidase,210589-09-6,2003.329
Cyclosporine,59865-13-3,1983.871
Alefacept,222535-22-0,2003.082
Urofollitropin,97048-13-0,1989.0
Efalizumab,214745-43-4,2005.819
Choriogonadotropin alfa,177073-44-8,1976.803
Antithymocyte immunoglobulin (rabbit),308067-60-9,1998.997
Filgrastim,121181-53-1,1993.0
Coagulation Factor IX (Recombinant),181054-95-5,1997.088
Becaplermin,165101-51-9,1998.088
Agalsidase beta,,2004.27
Octreotide,83150-76-9,1988.806
Interferon alfa-2b,98530-12-2,1986.425
Oxytocin,50-56-6,1980.328
Natalizumab,189261-10-7,2004.896
Enfuvirtide,159519-65-0,2003.63
Palivizumab,188039-54-5,1998.466
Daclizumab,152923-56-3,1997.942
Bevacizumab,216974-75-3,2004.156
Pyridoxal phosphate,54-47-7,2010.614
Cyanocobalamin,68-19-9,1952.0
Histidine,71-00-1,1971.732
Pyruvic acid,127-17-3,1997.156
Phenylalanine,63-91-2,1971.732
Biotin,58-85-5,1966.0
Choline,62-49-7,1964.0
Lysine,56-87-1,1971.732
Arginine,74-79-3,1971.732
Ascorbic acid,50-81-7,1880.003
Aspartic acid,56-84-8,1984.552
Ornithine,70-26-8,1996.0
L-Glutamine,56-85-9,2008.426
alpha-Linolenic acid,463-40-1,1988.0
Serine,56-45-1,1971.732
Methionine,63-68-3,1971.732
Tyrosine,60-18-4,1975.0
Calcitriol,32222-06-3,1980.0
Lutein,127-40-2,2001.34
Cystine,56-89-3,1953.0
Succinic acid,110-15-6,2008.585
Riboflavin,83-88-5,1952.0
N-Acetylglucosamine,7512-17-6,2010.181
Glutamic acid,56-86-0,1958.0
Glutathione,70-18-8,2019.173
Phosphatidyl serine,1446756-47-3,2011.614
Glycine,56-40-6,1969.0
Calcifediol,19356-17-3,2016.817
Creatine,57-00-1,2010.181
Leucine,61-90-5,1971.732
Tryptophan,73-22-3,1971.732
Cysteine,52-90-4,1969.0
Thiamine,70-16-6,1937.0
Ergocalciferol,50-14-6,1973.0
Citrulline,372-75-8,2015.896
Threonine,72-19-5,1969.0
NADH,58-68-4,2011.614
Folic acid,59-30-3,1952.0
Icosapent,10417-94-4,2004.549
Alanine,56-41-7,1971.732
Valine,72-18-4,1971.732
Vitamin A,68-26-8,1952.0
Vitamin E,59-02-9,1964.0
Pyridoxine,65-23-6,1952.0
Lipoic acid,1200-22-2,2001.34
Isoleucine,73-32-5,1971.732
Cholecalciferol,67-97-0,1958.0
Proline,147-85-3,1971.732
Adenine,73-24-5,1980.85
Asparagine,70-47-3,2022.964
Pravastatin,81093-37-0,1991.0
Fluvoxamine,54739-18-3,1992.0
Valsartan,137862-53-4,1996.978
Ramipril,87333-19-5,1991.077
Flunisolide,3385-03-3,1979.0
Baclofen,1134-47-0,1977.893
Amphetamine,300-62-9,1996.12
Pentagastrin,5534-95-2,1995.0
Nicotine,54-11-5,1985.0
Cevimeline,107233-08-9,2000.03
Lorazepam,846-49-1,1978.0
Esmolol,81147-92-4,1987.0
Bortezomib,179324-69-7,2003.364
Ethchlorvynol,113-18-8,1953.0
Carbidopa,28860-95-9,1975.334
Phentermine,122-09-8,1959.0
Tramadol,27203-92-5,1995.17
Vidarabine,24356-66-9,1976.904
Betaxolol,63659-18-7,1987.0
Fluconazole,86386-73-4,1990.079
Oseltamivir,196618-13-0,1999.822
Erythromycin,114-07-8,1955.0
Hydroxocobalamin,13422-51-0,1969.0
Caffeine,58-08-2,1911.0
Succinylcholine,306-40-1,1952.637
Sildenafil,139755-83-2,1998.236
