PMID,PUB_YEAR,PUB_MONTH
26738699,2016,1
26739592,2016,12
26739896,2016,1
26740458,2016,1
26740544,0,0
26740782,2014,11
26741162,2016,2
26741163,2016,4
26741168,2016,2
26741281,2016,2
8913052,1996,4
8913053,1996,4
8913345,1996,11
8913351,1996,11
8913354,1996,11
8913493,1996,10
8913600,1996,11
8913620,1996,11
8913793,1996,10
8913917,1996,10
8914163,0,0
8914285,1996,11
8914412,1996,9
8914455,1996,10
8914588,1996,10
8914686,0,0
8914841,1996,11
8914926,1996,11
8914998,1996,11
8915097,0,0
8915098,0,0
8915104,0,0
8915105,0,0
8915524,1996,0
39322075,2024,12
39322410,2024,11
39322412,2024,11
39322624,2024,9
39323672,2024,8
1573309,0,0
1573558,0,0
1573565,0,0
1573630,1992,4
1573637,1992,4
1573639,1992,4
1573662,1992,5
1573964,1992,0
1574441,1992,0
1574998,1992,3
1575479,1992,3
1575517,1992,5
34603239,2021,0
34603274,2021,0
34603672,2021,9
34604661,2021,9
34605570,2021,12
35651671,2022,6
35652351,2022,7
35652731,0,0
35652746,0,0
35653288,2022,6
35653782,0,0
35653990,2022,11
35654012,2022,7
28311678,1986,4
28311795,1986,9
28311814,1992,10
28311984,1987,10
28312085,1986,12
28312589,1989,3
28312854,1989,5
28312974,1990,10
28313987,1993,7
24117333,2014,0
24118434,0,0
24119217,2014,2
24119308,2013,10
24119382,2014,4
24119592,0,0
24119758,2013,11
24119759,2013,11
13109106,1953,11
13109108,1953,12
17301549,2007,2
17301691,2007,2
17302426,2007,3
17302428,0,0
17302444,2007,3
17302530,2007,3
17303144,2007,3
17303652,2007,6
17303666,2007,5
17303702,2007,5
17303963,0,0
17303971,0,0
17303972,0,0
36700373,0,0
36700491,2023,4
36700643,2023,2
36701046,2023,1
36701069,2023,1
36701083,2023,7
36701094,2023,7
36701527,2023,4
36701951,2023,4
36702750,0,0
29360340,2018,2
29360377,2018,2
29360751,2018,1
29361403,2018,2
29361701,2018,1
29361741,2018,1
35127617,2021,0
35127639,2021,0
35127964,2021,11
35128268,2022,2
35128406,2022,1
35128722,2022,10
35129083,0,0
10485819,0,0
10485822,0,0
10485823,0,0
10485824,0,0
10485825,0,0
10485879,1999,9
10486135,1999,11
10486136,1999,11
10486139,1999,9
10486140,1999,9
10486256,1999,9
10486389,1999,10
10486437,1999,9
10486723,1999,8
10486754,1999,8
10486779,0,0
10486784,0,0
10486892,0,0
10486897,0,0
10486900,0,0
10486905,0,0
10486909,1999,7
10487213,1999,7
10487332,1999,7
10487416,1999,0
10487418,1999,0
10487526,1999,10
10487705,1999,9
10487863,0,0
10487867,0,0
10487870,0,0
10487877,0,0
10488073,1999,9
10488245,1999,0
10488246,1999,0
10488397,1999,6
19923214,2010,1
19923250,2010,1
19923255,2010,2
19923440,2010,2
19923698,2009,12
19923761,2009,0
19924046,2009,10
19924063,2009,10
19924259,2008,9
19924673,0,0
19924687,2009,12
19924694,2010,3
19924762,2010,1
19924765,2010,0
19925006,2009,12
30408745,2019,1
30408808,0,0
30409702,2018,12
30410476,2018,0
30410481,2018,0
30410628,2018,0
11534336,2001,8
11534337,2001,8
11534347,2001,8
11534535,2001,8
11534604,2001,8
11534811,0,0
11534917,2001,8
11535083,2001,9
11535246,2001,10
11535335,2001,9
11535645,0,0
11535685,2001,9
11535926,0,0
11535928,0,0
11535935,0,0
11535936,0,0
11535955,0,0
11536126,2001,10
11536131,2001,10
11536219,2001,8
11536220,2001,8
11536464,1990,2
11536514,1992,10
11536516,1992,11
11536618,0,0
11536627,0,0
11536658,1994,2
11536932,1991,1
4719671,1973,8
4719680,1973,8
22020513,2012,1
22020701,2012,1
22021245,0,0
22021338,2012,3
22021694,0,0
22022544,2011,0
36176051,2022,11
36176221,2022,12
36176584,0,0
36176712,2022,0
36177308,2021,0
36178197,2023,1
36178208,2022,10
15728892,2005,3
15728907,2005,3
15728919,2005,3
15729472,0,0
15729510,2005,2
15729622,2005,2
15729627,2005,2
15729629,2005,2
15729824,2005,1
15729850,0,0
15730115,0,0
15730241,2005,2
15730243,2005,2
15730247,2005,2
15730269,2005,3
15730283,2005,3
15730300,2005,3
15730317,2005,3
15730326,2005,3
15730429,0,0
15730433,0,0
15730438,0,0
1048930,0,0
1049058,0,0
1049219,0,0
1050635,0,0
11010871,2000,10
11010883,2000,10
11010903,2000,10
11011029,2000,10
11011032,2000,10
11011033,2000,10
11011074,0,0
11011453,0,0
11011628,0,0
11011787,0,0
11011971,0,0
11011974,0,0
11012003,2000,9
11012032,2000,10
11012112,0,0
11012114,0,0
11012477,2000,10
38273731,2024,2
38274094,2023,0
38274277,0,0
38274708,2023,6
38274742,2023,0
38275159,2024,2
38275619,2024,1
38275665,2023,12
31981633,2020,3
31981957,2020,4
31982651,2020,3
31982654,2020,4
31982687,0,0
31983115,0,0
31983295,2021,2
31983661,2020,5
33555184,2021,2
33556576,2021,4
33556682,2021,3
33556794,2021,5
33556869,2021,3
28835926,2017,8
28836407,2017,10
28836767,2017,9
28837201,2017,9
28837332,2017,9
28837349,2017,9
28838027,2017,11
28838039,2017,11
28838240,2017,9
19398716,2009,6
19398775,2009,5
19399232,2009,3
19399372,2009,6
32506626,2020,10
32507893,2021,2
19400047,1974,2
19400557,2009,6
19400585,0,0
19401039,0,0
34078802,2021,0
34078803,2021,0
34079008,2021,6
34079245,0,0
34079253,2021,0
34080035,2021,10
34080070,2021,6
34080422,2021,6
34080858,2021,6
34080879,2021,6
29884900,2018,6
29885358,2018,8
29885593,2018,8
29885618,2018,10
29885857,2018,8
29886159,2018,9
29886160,2018,9
29886224,2018,11
29886310,2018,10
12058667,0,0
12058671,0,0
12058784,0,0
12058896,2002,4
12058935,2002,4
12058994,0,0
12059056,2002,5
12059157,2002,6
12059168,2002,6
12059193,2002,6
12059209,2002,6
12059212,2002,6
12059214,2002,6
12059216,2002,6
12059232,2002,6
12060452,0,0
12060517,0,0
12060532,2002,6
12060783,2002,6
12061142,2002,5
25165861,2014,8
25165870,2014,9
25167470,2014,10
25167596,2014,8
25167701,2014,0
25168236,2015,1
25168470,2014,0
27264991,2016,7
27265128,2016,5
27265520,2017,10
24,1975,9
38,1975,11
53,1975,12
63,1975,11
137,1975,10
139,1975,10
281,1975,9
287,1975,0
339,1975,0
356,1975,12
369,1975,12
370,1975,12
379,1975,7
385,1975,11
386,1975,11
389,1975,11
406,1975,11
418,1975,12
420,1975,12
481,1975,11
482,1975,11
490,1975,12
506,1975,0
628,1975,0
706,1975,10
707,1975,10
907,1975,12
987,0,0
1040,1975,10
1043,1975,10
1049,1975,11
1051,1975,11
1052,1975,11
1084,1975,12
1088,1975,12
1095,1975,12
1109,0,0
1110,0,0
1116,0,0
1147,0,0
1159,1976,1
1217,0,0
1219,0,0
1220,0,0
1221,0,0
1223,0,0
1226,0,0
1228,0,0
1229,0,0
1233,0,0
1234,0,0
1247,1975,11
1250,1975,11
1252,1975,11
1257,1975,11
1261,1975,12
1276,1976,1
1351,1975,12
1372,1976,1
1387,1976,1
1390,1976,1
1405,1975,12
1414,1976,1
1415,1976,1
1518,1976,1
1534,1976,1
1541,1975,12
1542,1975,12
1623,1975,12
1687,1975,0
1695,1975,11
1716,0,0
1721,0,0
1724,0,0
1740,0,0
1801,0,0
1913,0,0
1915,0,0
1960,1975,11
2004,1976,2
2076,1975,0
2154,1975,9
2157,1975,9
2276,1976,1
2279,1976,1
2280,1976,1
2287,1976,2
2290,1976,2
2299,1976,1
2300,1976,1
2301,1976,1
2374,1975,0
2458,1976,2
2471,1976,1
2494,0,0
2595,1976,2
2598,1976,2
2604,1976,2
2605,1976,2
24641626,2014,3
24641629,2014,4
24641975,2014,4
24641995,2014,4
24642166,2014,6
24643052,2014,6
24643334,2014,8
24643916,2014,9
24643988,2014,6
24644062,2014,5
24644127,0,0
24071978,2013,9
23593234,2013,0
23593301,2013,0
23593444,2013,0
23593879,2012,12
23593887,2012,12
23593981,2013,5
23594111,2013,7
23594131,2013,5
23594344,2013,6
23594879,2013,4
23595023,2013,0
23595416,2013,6
15204546,2004,5
15204562,2004,4
15204563,2004,4
15204698,2004,3
15204699,2004,3
15204720,0,0
15204732,0,0
15204827,0,0
15204971,0,0
15204972,0,0
15205089,0,0
15205340,2004,6
15205346,2004,6
15205450,2004,10
15205549,0,0
15205554,0,0
15205923,2004,10
15206624,2004,6
15206668,2004,4
15206780,2003,0
15206847,2004,6
15206856,2004,6
15206888,2004,6
15206897,2004,6
15206904,2004,6
15206937,2004,7
3145739,1988,11
3145796,1988,11
3145981,0,0
3146228,1988,12
3146255,1988,9
3146345,1988,8
3146570,1988,7
3146579,1988,11
3146976,1988,12
3146986,1988,9
3146987,1988,0
3146993,1988,9
3147122,1988,9
3147165,1988,1
3147240,0,0
3147278,1988,11
3147729,1987,0
3148252,1988,0
3148376,1988,10
4196835,1973,0
16777410,2006,9
16777431,2006,9
16777444,0,0
16777701,0,0
16778324,2006,3
16779473,2006,6
16779486,2006,6
16779639,0,0
16779671,0,0
16779722,2006,7
16779773,0,0
16779782,0,0
16779783,0,0
14680112,2003,7
14680114,2003,7
14680202,2003,8
14680212,2003,12
14680228,2003,12
14680334,0,0
14680372,2003,12
14680688,2003,12
14680755,2004,2
14680810,2003,12
14680815,2003,12
14680990,0,0
14681012,0,0
14681026,0,0
14681337,2004,1
14681549,2003,12
14681860,2003,10
14681987,0,0
14681999,0,0
14682188,0,0
14682238,2003,8
14682242,2003,8
14682246,2003,8
14682261,0,0
14682507,2003,10
14682508,2003,10
14682514,2003,10
14682526,2003,11
14682528,2003,11
14682694,2003,12
14682696,2003,12
14682700,2003,12
14682707,2003,12
14682709,2003,12
14682712,2003,12
14682713,2003,12
14682723,2003,12
14682725,2003,12
14682726,2003,12
5768084,1969,5
5768100,1969,5
5768126,1969,5
5769567,1969,6
5769760,1969,5
5769765,1969,5
6292069,1982,10
6292105,1982,11
6292127,1982,0
6292212,1982,12
6292224,1982,12
6292245,1982,9
6292318,1982,9
6292390,1982,10
6292399,1982,12
6292417,1982,10
6292420,1982,10
6292422,1982,11
6292423,1982,11
6292425,1982,11
6292619,0,0
6292702,0,0
6292759,0,0
6292822,1982,10
6292837,1982,9
6292869,1982,10
6293445,0,0
6293678,1982,0
6293703,1983,2
6293705,1983,2
9437513,1998,1
9437519,1997,12
9437525,1997,12
9437528,1997,12
9437660,0,0
9437724,1997,0
9437792,1998,1
9437869,1997,10
9438018,1998,1
9438024,1998,1
9438192,1997,9
9438237,1997,12
9438238,1997,12
9438243,1997,12
9438352,1997,0
9438553,1998,2
9438842,1998,1
9439001,1997,10
9439769,1997,5
9439787,1997,9
9439826,1997,11
524695,1979,12
524751,1979,0
524875,1979,0
524913,1979,9
524917,1979,9
525063,1979,10
525067,0,0
525229,1979,12
525255,1979,10
525613,1979,10
525744,1979,10
525926,1979,9
525999,1979,11
526070,1979,9
526072,1979,9
526213,1979,11
526432,1979,12
526558,1979,10
526864,0,0
526923,0,0
526931,0,0
526932,0,0
22544452,2012,7
22544569,2012,6
22544596,2012,8
22544638,2012,6
22544663,2012,7
22544773,2012,1
22545011,2012,0
22545314,2012,3
22545320,0,0
22545445,0,0
22546347,0,0
22547031,2012,8
2621538,1989,0
2621574,1989,11
2621727,1989,0
2621783,1989,11
2621792,1989,11
2622094,1989,11
2622425,0,0
2622761,1989,12
2623916,1989,12
38797931,0,0
38798578,2024,5
38798603,2024,5
38798887,0,0
38799412,2024,0
7340260,1981,12
7340463,1981,12
7340732,0,0
7340807,1981,11
7340810,1981,11
7341343,1981,12
7341483,1980,12
7341525,1981,11
7341527,1981,11
7341528,1981,11
7341533,1981,11
7341982,1981,12
7342511,1981,11
7342575,1981,12
7342691,1981,10
27787711,0,0
27787897,2017,1
27787986,2016,12
27787988,2016,11
27788471,2017,2
16254442,2005,0
16254805,2005,10
16254824,2005,10
16255072,0,0
18350235,0,0
18350523,2008,5
18351069,2008,2
18351422,2008,4
18351589,2008,8
18351744,2008,5
18351768,2008,4
18351774,2008,4
18352579,2008,2
37224699,2023,6
37224731,2023,7
37224752,2023,8
37225341,2023,7
37225922,2023,5
37226066,0,0
37226196,2023,5
37226455,0,0
37226492,2023,6
37226495,0,0
37227057,2023,10
37749714,2023,4
37749889,2024,3
37750071,2023,0
37750227,2023,10
37750925,2023,10
37751131,2023,10
31457397,2017,12
31457422,2017,12
31457443,2017,2
31457499,2017,3
31457546,2017,5
31457630,2017,6
31457645,2017,7
31457665,2017,7
31457724,2017,8
31457769,2017,8
31457776,2017,8
31458142,2018,11
31458169,2018,11
31458175,2018,11
31458193,2018,11
31458219,2018,11
31458280,2018,12
31458283,2018,12
31458350,2018,12
31458385,2018,12
31458425,2018,12
31458450,2018,12
31458451,2018,12
31458456,2018,12
31458474,2018,2
31458545,2018,3
31458644,2018,4
31458709,2018,5
31458876,2018,7
31458909,2018,7
31459006,2018,8
31459026,2018,8
31459076,2018,8
31459099,2018,8
31459150,2018,8
31459173,2018,9
31459193,2018,9
31459214,2018,9
31459273,2018,9
31459282,2018,9
31459289,2018,9
31459448,2019,1
31459576,2019,2
31459648,2019,3
31459751,2019,3
31459822,2019,4
31459833,2019,4
31459845,2019,4
31459909,2019,5
31459929,2019,5
2097323,1990,12
2097397,1990,12
2097592,0,0
2098054,1990,9
2098107,0,0
2098112,0,0
2098200,1990,9
2098206,1990,6
2098295,0,0
2098297,0,0
2098519,1990,0
2098524,1990,0
2098545,1990,12
2098602,1990,12
2098703,1990,10
2098754,0,0
2098864,0,0
2098907,1990,0
2098916,1990,12
2099086,1990,0
2099091,1990,0
2099092,1990,0
2099130,0,0
2099133,0,0
2099138,0,0
2099186,0,0
2099187,0,0
2099547,1990,0
2099590,1990,0
2099617,1990,0
23070446,0,0
23070716,2012,12
23071322,2012,10
8388871,1993,4
8389340,1993,5
8389876,1993,6
8390284,1993,6
8390647,0,0
8390800,0,0
8391119,1993,6
8391225,1993,6
20447361,0,0
20447363,0,0
20447438,2010,9
20447439,2010,11
20447562,2010,5
20447681,2010,7
20447794,2010,11
20447827,2010,6
20448268,2010,5
20448269,2010,5
20448271,2010,5
20448372,0,0
20448862,2010,4
20448866,2010,7
20448879,2010,6
20448887,2010,5
20448906,2010,5
20448977,2009,9
20449079,2009,8
20449093,2009,8
20449131,2009,9
20449141,2009,9
20449142,2009,9
20449149,2009,9
20449150,2009,9
20449157,2009,9
20449163,2009,9
20449211,2009,11
20449357,2010,3
20449387,2010,3
20449421,2010,2
20449499,2010,4
26214643,0,0
26214877,2015,1
26216069,2015,9
26216335,2015,9
26216395,0,0
6815915,1982,0
6816009,1982,10
6816103,1982,11
6816243,1982,10
6816562,1982,0
6816596,1982,11
6816666,0,0
6816706,1982,0
6816708,1982,0
6816797,1982,12
6817003,1982,10
6817363,1982,0
6817505,1982,12
6817707,1982,11
6817723,1982,9
6817926,1982,7
6818014,1982,0
6818203,1982,10
6818274,0,0
6818344,1982,12
6818345,1982,12
25691520,0,0
25692015,2015,2
25692027,2015,3
25692476,2015,3
25692608,2015,6
33030341,2020,10
33030668,2020,12
33030710,2020,11
33031067,2020,9
33032069,2021,2
33032087,2020,12
33032322,2021,2
16253225,2005,12
16253953,0,0
16254003,2005,10
7864377,1994,11
7864530,1994,0
7864637,1995,2
7864650,1995,2
7864832,1995,2
7865386,1994,11
7865483,1994,12
7865594,1994,10
7865716,0,0
7865871,1993,0
7865885,1994,11
7866386,0,0
7866426,1994,0
7866518,1994,10
7866528,1994,10
7866537,1994,11
7866565,1994,12
7866751,1994,12
7866752,1994,12
21496387,0,0
21496738,0,0
21497013,2011,6
21497054,0,0
21497424,2011,6
21497467,2011,6
21497545,2011,7
21497599,2011,6
21497612,0,0
21497998,2011,6
21498081,2011,7
30933435,2019,5
30933504,2019,5
30933556,2019,4
30933557,2019,4
30933558,2019,5
30933784,2019,6
30934418,1984,5
30934488,1985,1
30934521,1985,2
30934674,2019,3
23068766,2012,11
23069484,2012,11
23070054,2013,1
12582925,2002,11
12583160,2002,3
12583174,2002,4
12583282,2001,5
12583385,0,0
12583392,0,0
12583690,2003,2
12583699,2003,2
12583733,2003,2
12583744,2003,2
12583757,2003,2
12583764,2003,2
12584677,2002,0
12584686,2002,0
12584704,2003,2
12584712,2003,2
12584749,2003,4
12584850,2001,5
12584860,2001,5
12585086,2001,7
12585124,2001,6
12585274,0,0
12585333,2003,1
12585393,2003,1
12585500,2003,2
37749214,2024,1
17825831,2007,10
17825955,2008,5
17826101,2007,12
17826318,0,0
17826324,0,0
17826532,0,0
17826764,2007,12
17826837,2007,11
17826852,2007,12
17826921,0,0
17826996,2007,11
17826998,2007,11
17827000,2007,11
17827016,2007,11
17827019,2007,11
17827021,2007,11
17827025,2008,5
17827344,0,0
17827674,2007,9
17827688,2007,9
17827754,2007,9
17827762,2007,9
17827768,2007,9
17827773,2007,9
17827774,2007,9
17828361,2007,9
17828423,2007,11
3543161,0,0
3670296,1987,8
3670555,1987,9
3670602,1987,8
3671436,1987,7
3671444,1987,5
3671457,1987,6
3671468,1987,7
3671874,1987,7
3672524,1987,11
20971641,2010,12
20971650,2010,11
20972361,2010,0
20973022,2010,11
20973488,2010,11
20973518,2010,11
20973551,2010,11
20973552,2010,11
20973558,2010,12
26741358,2016,2
26741785,2016,2
26741951,2016,2
26742258,0,0
26742828,2016,1
26742972,0,0
26743445,2016,2
26743756,2016,6
8916362,1996,11
8916363,1996,11
8916414,1996,12
8916545,1996,10
8916558,1996,10
8917338,0,0
8917339,0,0
8917345,0,0
8917363,0,0
8917394,0,0
8917410,0,0
8917413,0,0
8917493,1996,11
8917647,1996,11
8917649,1996,11
8917653,1996,11
8917656,1996,11
8917657,1996,11
8918008,1996,7
8918061,1996,9
39326013,2024,10
39326151,2024,12
39326652,2024,12
1575888,1992,4
1576040,1992,5
1576048,1992,3
1576055,1992,3
1576141,0,0
1576149,1992,4
1576171,1992,3
1576426,1992,1
1576624,0,0
1576678,1992,1
1576686,1992,1
1576716,1992,4
1576879,1992,3
1577331,1992,0
1577525,1992,0
1577615,1992,1
1577657,1992,3
1577666,1992,3
1577699,1992,5
1577808,1992,5
1577811,1992,5
1577907,1992,3
1577909,1992,3
34605995,2022,1
34606258,2021,10
34606259,2021,10
34606260,2021,10
34606422,2022,0
34607676,2021,11
34607985,2021,10
34607989,2021,10
34608116,2021,9
35654275,2022,7
35654450,0,0
35654475,2022,10
35654732,2022,9
35654861,2022,7
35654902,2022,6
35654919,2022,6
35655558,2022,5
35655703,2022,0
35656284,0,0
28314269,2017,3
28315150,2017,5
28315597,2017,5
28315670,2017,6
28316096,2017,7
28316339,2017,4
28316643,2016,0
24120008,2013,6
24120880,2013,11
24121233,2013,11
24121236,2013,11
24121470,2013,11
24121472,2013,11
24121606,0,0
24121679,2013,10
24121680,2014,1
24121741,2013,12
24121772,0,0
24122234,2014,5
17304504,2007,7
17304592,2007,0
17304642,0,0
17304644,0,0
17305246,2006,12
17305324,2007,3
17305326,2007,3
17305348,2007,3
17305495,2007,2
17306181,0,0
17306239,2007,5
17306280,2007,3
17306494,2007,6
17306602,0,0
36702861,2023,1
36703260,2023,6
36703324,2020,8
36703438,2020,5
36703482,2020,5
36703600,2023,0
36703913,2023,0
36704193,2023,1
36704446,2023,0
36705229,2022,8
18236763,2007,9
35130106,2022,6
35130734,0,0
35131667,2022,6
35131706,2022,4
35131878,2022,4
35132095,2022,2
35132312,2022,0
10488531,0,0
10488532,0,0
10488558,0,0
10488560,0,0
10488563,0,0
10488570,0,0
10488587,0,0
10488588,0,0
10488609,0,0
10488621,0,0
10488869,0,0
10488875,0,0
10488877,0,0
10488923,1999,9
10489153,0,0
10489300,1999,10
10489302,1999,10
10489312,1999,10
10489589,0,0
10489590,0,0
10489880,1999,8
10489884,1999,8
10490314,0,0
10490315,0,0
10490316,0,0
10490319,0,0
10490334,0,0
10490509,1999,9
10490688,1999,0
10490732,1999,9
10490898,1999,10
10490917,1999,10
19925756,2009,10
19925781,2010,4
19926212,2010,3
19926273,2010,2
19926520,2010,1
19926540,2009,12
19926830,0,0
19926854,2009,12
19926889,2010,1
19927233,0,0
30411438,2018,12
